time_s,pc0,pc1,pc2,pc3,i0,v0,i1,v1,i2,v2,i3,v3,i4,v4,i5,v5,i6,v6
93.229196,0,0,0,0,0.835762,5.032718,0.010449,1.583830,0.006612,1.514149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.229284,0,0,0,0,0.838010,5.032718,0.010449,1.585369,0.006612,1.514918,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.229371,0,0,0,0,0.834157,5.035786,0.010449,1.585369,0.006612,1.515686,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.229459,0,0,0,0,0.835281,5.031951,0.010449,1.586138,0.006612,1.515686,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.229547,0,0,0,0,0.833996,5.033485,0.010449,1.585369,0.006612,1.517991,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.229635,0,0,0,0,0.838010,5.035786,0.010449,1.584600,0.006612,1.516454,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.229722,0,0,0,0,0.829020,5.033485,0.010449,1.584600,0.006612,1.512613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.229810,0,0,0,0,0.827254,5.032718,0.010449,1.585369,0.006612,1.516454,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.229898,0,0,0,0,0.839615,5.032718,0.010449,1.583061,0.006612,1.515686,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.229986,0,0,0,0,0.840096,5.032718,0.010449,1.584600,0.006612,1.517991,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.230073,0,0,0,0,0.831428,5.035019,0.010449,1.583061,0.006612,1.517223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.230161,0,0,0,0,0.838812,5.033485,0.010449,1.585369,0.006612,1.516454,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.230249,0,0,0,0,0.833194,5.033485,0.010449,1.582291,0.006612,1.516454,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.027407,0,0,0,0,0.821636,5.029649,0.010449,1.583061,0.006612,1.515686,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.027494,0,0,0,0,0.820512,5.029649,0.010449,1.581522,0.006612,1.514918,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.027582,0,0,0,0,0.821796,5.032718,0.010449,1.583061,0.006612,1.516454,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.027670,0,0,0,0,0.822438,5.032718,0.010449,1.585369,0.006612,1.514149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.027758,0,0,0,0,0.831428,5.031183,0.010449,1.583061,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.027845,0,0,0,0,0.824204,5.029649,0.010449,1.583061,0.006612,1.514918,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.027933,0,0,0,0,0.833194,5.032718,0.010449,1.583830,0.006612,1.511844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.028021,0,0,0,0,0.838170,5.031951,0.010449,1.584600,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.028109,0,0,0,0,0.847320,5.032718,0.010449,1.583061,0.006612,1.514918,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.028196,0,0,0,0,0.838491,5.033485,0.010449,1.582291,0.006612,1.512613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.028284,0,0,0,0,0.829662,5.030416,0.010449,1.583061,0.006612,1.514149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90.028372,0,0,0,0,0.842986,5.031951,0.010449,1.584600,0.006612,1.514149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
