Timestamp,FrameID,CameraFPS,CameraWidth,CameraHeight,CameraSize,AlgoInferenceMs,AlgoFPS,AlgoAvgProcMs,AlgoTotalProcMs,AlgoCudaKernelMs,AlgoDroppedFrames,AlgoGpuFree,AlgoGpuTotal,DisplayRenderMs,DisplayLatencyMs,ProcLatencyMs,DisplayLatencyMs,EndToEndLatencyMs,JoulesPerFrame,SoC_TotalRAM,SoC_UsedRAM,SoC_CPU1_Util,SoC_CPU2_Util,SoC_CPU3_Util,SoC_CPU4_Util,SoC_CPU1_Freq,SoC_CPU2_Freq,SoC_CPU3_Freq,SoC_CPU4_Freq,PowerSensor0_Power,PowerSensor0_Volt,PowerSensor0_Curr,PowerSensor1_Power,PowerSensor1_Volt,PowerSensor1_Curr,PowerSensor2_Power,PowerSensor2_Volt,PowerSensor2_Curr,PowerSensor3_Power,PowerSensor3_Volt,PowerSensor3_Curr
2026-05-17 19:19:02.743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1218,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:03.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1218,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:03.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1217,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:04.252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1217,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:04.754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1217,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:05.257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1217,100,95,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:05.763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1218,100,98,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:06.266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1217,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:06.768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1217,100,96,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:07.270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1217,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:07.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1217,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:08.278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1217,100,97,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:08.780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1217,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:09.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1217,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:09.788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1218,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:10.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1218,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:10.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1218,100,98,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:11.298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1219,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:11.802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1218,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:12.304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1218,100,92,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:12.807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1218,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:13.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1218,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:13.810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1219,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:14.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1219,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:14.816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1219,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:15.323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1219,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:15.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1219,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:16.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1219,100,97,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:16.829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1219,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:17.330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1219,100,98,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:17.841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1219,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:18.342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1219,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:18.843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1219,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:19.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1217,100,97,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:19.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1217,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:20.349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1217,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:20.851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1218,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:21.353
