time_s,pc0,pc1,pc2,pc3,i0,v0,i1,v1,i2,v2,i3,v3,i4,v4,i5,v5,i6,v6
22.384495,0,0,0,0,0.841702,5.030416,0.010449,1.583830,0.006612,1.512613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.384582,0,0,0,0,0.861928,5.019677,0.010449,1.579213,0.006612,1.512613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.384670,0,0,0,0,0.864657,5.031951,0.010449,1.583830,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.384758,0,0,0,0,0.842344,5.025814,0.010449,1.581522,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.384846,0,0,0,0,0.855347,5.028882,0.010449,1.580752,0.006612,1.511844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.384933,0,0,0,0,0.875413,5.018143,0.010449,1.583830,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.385021,0,0,0,0,0.872202,5.023513,0.010449,1.582291,0.006612,1.510308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.385109,0,0,0,0,0.877339,5.023513,0.010449,1.583830,0.006612,1.514149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.385197,0,0,0,0,0.850531,5.026581,0.010449,1.582291,0.006612,1.514149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.385284,0,0,0,0,0.865139,5.023513,0.010449,1.583061,0.006612,1.511076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.385372,0,0,0,0,0.873326,5.026581,0.010449,1.581522,0.006612,1.511844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.488404,0,0,0,0,0.884242,5.021211,0.010449,1.581522,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.488491,0,0,0,0,0.883439,5.026581,0.010449,1.581522,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.488579,0,0,0,0,0.876537,5.022745,0.010449,1.580752,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.488667,0,0,0,0,0.880871,5.029649,0.010449,1.582291,0.006612,1.514918,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.488755,0,0,0,0,0.878302,5.024280,0.010449,1.582291,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.488842,0,0,0,0,0.875092,5.030416,0.010449,1.581522,0.006612,1.514918,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.488930,0,0,0,0,0.875573,5.026581,0.010449,1.582291,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.489018,0,0,0,0,0.872202,5.029649,0.010449,1.581522,0.006612,1.514149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.489106,0,0,0,0,0.868189,5.026581,0.010449,1.582291,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.489194,0,0,0,0,0.867868,5.029649,0.010449,1.583061,0.006612,1.511844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.489281,0,0,0,0,0.868671,5.031951,0.010449,1.583061,0.006612,1.511844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.489369,0,0,0,0,0.867386,5.027348,0.010449,1.583061,0.006612,1.514149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.489457,0,0,0,0,0.873486,5.032718,0.010449,1.580752,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.489545,0,0,0,0,0.867226,5.034252,0.010449,1.582291,0.006612,1.514149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.489632,0,0,0,0,0.873326,5.035019,0.010449,1.581522,0.006612,1.512613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.489720,0,0,0,0,0.853099,5.035019,0.010449,1.582291,0.006612,1.514149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.489808,0,0,0,0,0.838170,5.032718,0.010449,1.583061,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.489896,0,0,0,0,0.851012,5.033485,0.010449,1.583830,0.006612,1.514149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.489983,0,0,0,0,0.851976,5.021978,0.010449,1.582291,0.006612,1.514918,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.490071,0,0,0,0,0.846999,5.031183,0.010449,1.581522,0.006612,1.514149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
